Informe/Acta,Número.sesion,Año,Tema.Merluza,Estado,Año.estado,Detalle.estado,Rango.cuota,Año.cuota,Rango.cuota.min,Rango.cuota.max,Cuota.recomendacion,Abstencion,Decision.unanime,Mayoria.cientifica,Mayoria.institucional,Estrategia.explotacion,Opinion.favorable,Detalle.estrategia.explotacion,Programa.recuperacion,Recomienda.Programa.Recuperacion,Detalle.Programa.recuperacion
Acta,1,2013,1,1,2013,0.25,1,2014,9696,12120,12120,,1,0,0,0,,fija valores PBR según recomendacion de IFOP BDrms = 50%BDo / BDlimite=20% / Fmrs como limite de sobrepesca,0,,
Acta,1,2014,1,0,,,0,,,,,,,,,0,,modifica PBR BDrms=40% BDo,0,,
Acta,2,2014,1,0,,,0,,,,,,,,,0,,"""... los niveles de cuota que esta gradualidad implican que la población no tienda al RMS y exista una probabilidad muy alta (>0.95) de NO alcanzar el RMS en el plazo de proyección. Desde este punto de vista, la CBA de gradualidad 2014 estaría en contra del enfoque precautorio.""",1,1,"""Debido a que el stock se encuentra en sobrepesca (F>Frms y BD<BDrms), la Ley indica que se debe establecer un programa de recuperción aplicando una estrategia de recuperación."""
Acta,3,2014,1,0,,,0,,,,,,,,,0,,,0,,
Acta,4,2014,1,0,,,0,,,,,,,,,0,,,0,,
Acta,5,2014,1,1,2014,,1,2015,9696,12120,12120,,0,1,0,0,,,0,,
Acta,1,2015,1,0,,,0,,,,,,,,,0,,,0,,
Acta,2,2015,1,1,2014,,1,2015,12975,16219,16219,,0,0,1,0,0,no esta de acuerdo con el plazo de recuperación fijado por el CM y señala que este debe estar fundado y relacionado con la historia de vida de la especie,0,,
Acta,3,2015,1,0,,,0,,,,,,,,,0,0,plazos de recuperacion deben estar explicitos en el plan de manejo,0,,
Acta,4,2015,1,1,2015,,1,2016,12975,16219,16219,,0,1,0,0,,,0,,
Acta,1,2016,1,0,,,0,,,,,,,,,0,,,0,,
Acta,2,2016,1,1,2016,0.3,1,2016,14166,17708,17708,,1,0,0,0,,,0,,
Acta,3,2016,1,0,,,0,,,,,,,,,0,,,0,,
Acta,4,2016,1,1,2016,0.3,1,2017,15208,19010,19010,,0,0,1,1,0,"""la regla propuesta en el plan de manerjo no Ilevaría la pesquería al objetivo esperado (Bmrs) en el plazo esperado (16 años)"". Por otro lado se concluyó que el nivel de riesgo de 36% determinado bajo la regla de decisión es un nivel muy alto de riesgo, ya que la aplicación del enfoque precautorio implica utilizar niveles de riesgo no superiores al 10%",0,,
Acta,1,2017,1,0,,,0,,,,,,,,,0,,,0,,
Acta,2,2017,1,0,,,0,,,,,,,,,1,0,"""Respecto del nivel de riesgo del 10%, el manejo precautorio señala que se debe establecer el riesgo más bajo, en el sentido de permitir la recuperación de la pesquería.""",0,,
Acta,3,2017,1,0,,,0,,,,,,,,,0,,,0,,
Acta,4,2017,1,0,,,0,,,,,,,,,0,,,0,,
Acta,5,2017,1,1,2017,0.3,1,2018,16334,20418,16334,,1,0,0,1,0,En pesquerías sobreexplotadas se debiera aplicar un F<Frms y no F=Frms. ,1,1,"Señala que no hay una política de recuperación y puesto que el plan de manejo es vinculante, queda aplicar lo dispuesto en la estrategia de explotacion"
Acta,1,2018,1,0,,,0,,,,,,,,,1,,,0,,
Acta,2,2018,0,,,,,,,,,,,,,0,,,0,,
