"ID","Año.cuota","Abstencion","Tipo.decision","variable","value"
1,"2014",NA,"Unanime","Rango.cuota.min",9696
2,"2015",NA,"Científica","Rango.cuota.min",9696
3,"2015",NA,"Institucional","Rango.cuota.min",12975
4,"2016",NA,"Científica","Rango.cuota.min",12975
5,"2016",NA,"Unanime","Rango.cuota.min",14166
6,"2017",NA,"Institucional","Rango.cuota.min",15208
7,"2018",NA,"Unanime","Rango.cuota.min",16334
8,"2019",NA,"Científica","Rango.cuota.min",11884
9,"2019",1,"Abstencion","Rango.cuota.min",NA
10,"2019",1,"Abstencion","Rango.cuota.min",NA
11,"2020",NA,"Institucional","Rango.cuota.min",14168
12,"2021-2023",NA,"Institucional","Rango.cuota.min",15600
13,"2024",NA,"Unanime","Rango.cuota.min",15446
14,"2025",NA,"Unanime","Rango.cuota.min",15000
15,"2026",NA,"Unanime","Rango.cuota.min",17845
1,"2014",NA,"Unanime","Rango.cuota.max",12120
2,"2015",NA,"Científica","Rango.cuota.max",12120
3,"2015",NA,"Institucional","Rango.cuota.max",16219
4,"2016",NA,"Científica","Rango.cuota.max",16219
5,"2016",NA,"Unanime","Rango.cuota.max",17708
6,"2017",NA,"Institucional","Rango.cuota.max",19010
7,"2018",NA,"Unanime","Rango.cuota.max",20418
8,"2019",NA,"Científica","Rango.cuota.max",14855
9,"2019",1,"Abstencion","Rango.cuota.max",NA
10,"2019",1,"Abstencion","Rango.cuota.max",NA
11,"2020",NA,"Institucional","Rango.cuota.max",17709
12,"2021-2023",NA,"Institucional","Rango.cuota.max",19501
13,"2024",NA,"Unanime","Rango.cuota.max",19308
14,"2025",NA,"Unanime","Rango.cuota.max",18751
15,"2026",NA,"Unanime","Rango.cuota.max",22306
1,"2014",NA,"Unanime","Cuota.recomendacion",12120
2,"2015",NA,"Científica","Cuota.recomendacion",12120
3,"2015",NA,"Institucional","Cuota.recomendacion",16219
4,"2016",NA,"Científica","Cuota.recomendacion",16219
5,"2016",NA,"Unanime","Cuota.recomendacion",17708
6,"2017",NA,"Institucional","Cuota.recomendacion",19010
7,"2018",NA,"Unanime","Cuota.recomendacion",16334
8,"2019",NA,"Científica","Cuota.recomendacion",14855
9,"2019",1,"Abstencion","Cuota.recomendacion",NA
10,"2019",1,"Abstencion","Cuota.recomendacion",NA
11,"2020",NA,"Institucional","Cuota.recomendacion",17709
12,"2021-2023",NA,"Institucional","Cuota.recomendacion",19501
13,"2024",NA,"Unanime","Cuota.recomendacion",19308
14,"2025",NA,"Unanime","Cuota.recomendacion",18751
15,"2026",NA,"Unanime","Cuota.recomendacion",22306
