"año","variable","value"
2001,"Cuota.recomendada",NA
2002,"Cuota.recomendada",NA
2003,"Cuota.recomendada",NA
2004,"Cuota.recomendada",NA
2005,"Cuota.recomendada",NA
2006,"Cuota.recomendada",NA
2007,"Cuota.recomendada",NA
2008,"Cuota.recomendada",NA
2009,"Cuota.recomendada",NA
2010,"Cuota.recomendada",26000
2011,"Cuota.recomendada",24000
2012,"Cuota.recomendada",23000
2013,"Cuota.recomendada",21000
2014,"Cuota.recomendada",12120
2015,"Cuota.recomendada",16219
2016,"Cuota.recomendada",17708
2017,"Cuota.recomendada",19010
2018,"Cuota.recomendada",16334
2019,"Cuota.recomendada",14855
2020,"Cuota.recomendada",17709
2021,"Cuota.recomendada",19501
2022,"Cuota.recomendada",19501
2023,"Cuota.recomendada",19501
2024,"Cuota.recomendada",19308
2025,"Cuota.recomendada",18751
2026,"Cuota.recomendada",22306
2001,"Cuota.decretada",NA
2002,"Cuota.decretada",NA
2003,"Cuota.decretada",NA
2004,"Cuota.decretada",NA
2005,"Cuota.decretada",NA
2006,"Cuota.decretada",NA
2007,"Cuota.decretada",NA
2008,"Cuota.decretada",NA
2009,"Cuota.decretada",NA
2010,"Cuota.decretada",26000
2011,"Cuota.decretada",24000
2012,"Cuota.decretada",23000
2013,"Cuota.decretada",21000
2014,"Cuota.decretada",12120
2015,"Cuota.decretada",16219
2016,"Cuota.decretada",17708
2017,"Cuota.decretada",19010
2018,"Cuota.decretada",20310
2019,"Cuota.decretada",19537
2020,"Cuota.decretada",17654
2021,"Cuota.decretada",19446
2022,"Cuota.decretada",19446
2023,"Cuota.decretada",19446
2024,"Cuota.decretada",19253
2025,"Cuota.decretada",18696
2026,"Cuota.decretada",22251
2001,"Rango.inf",NA
2002,"Rango.inf",NA
2003,"Rango.inf",NA
2004,"Rango.inf",NA
2005,"Rango.inf",NA
2006,"Rango.inf",NA
2007,"Rango.inf",NA
2008,"Rango.inf",NA
2009,"Rango.inf",NA
2010,"Rango.inf",NA
2011,"Rango.inf",NA
2012,"Rango.inf",NA
2013,"Rango.inf",NA
2014,"Rango.inf",9696
2015,"Rango.inf",9696
2016,"Rango.inf",12975
2017,"Rango.inf",15208
2018,"Rango.inf",16334
2019,"Rango.inf",11884
2020,"Rango.inf",14168
2021,"Rango.inf",15600
2022,"Rango.inf",15600
2023,"Rango.inf",15600
2024,"Rango.inf",15446
2025,"Rango.inf",15000
2026,"Rango.inf",17845
2001,"Rango.sup",NA
2002,"Rango.sup",NA
2003,"Rango.sup",NA
2004,"Rango.sup",NA
2005,"Rango.sup",NA
2006,"Rango.sup",NA
2007,"Rango.sup",NA
2008,"Rango.sup",NA
2009,"Rango.sup",NA
2010,"Rango.sup",NA
2011,"Rango.sup",NA
2012,"Rango.sup",NA
2013,"Rango.sup",NA
2014,"Rango.sup",12120
2015,"Rango.sup",16219
2016,"Rango.sup",17708
2017,"Rango.sup",19010
2018,"Rango.sup",20418
2019,"Rango.sup",14855
2020,"Rango.sup",17709
2021,"Rango.sup",19501
2022,"Rango.sup",19501
2023,"Rango.sup",19501
2024,"Rango.sup",19308
2025,"Rango.sup",18751
2026,"Rango.sup",22306
2001,"Desembarques",27698
2002,"Desembarques",22593
2003,"Desembarques",22432
2004,"Desembarques",29882
2005,"Desembarques",30886
2006,"Desembarques",31283
2007,"Desembarques",30368
2008,"Desembarques",27854
2009,"Desembarques",26100
2010,"Desembarques",25308
2011,"Desembarques",20750
2012,"Desembarques",19982
2013,"Desembarques",19252
2014,"Desembarques",12256
2015,"Desembarques",16130
2016,"Desembarques",16689
2017,"Desembarques",16233
2018,"Desembarques",18990
2019,"Desembarques",18162
2020,"Desembarques",15689
2021,"Desembarques",17880
2022,"Desembarques",17180
2023,"Desembarques",16623
2024,"Desembarques",18333
2025,"Desembarques",17617
2026,"Desembarques",NA
